Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,20,11,0.645,-2.87,-6.87,,15,5,,13,3,,7,8,,75.9,65.3,,40.6,26.3,58.5,0.449,6.74,21.8,0.309,16.6,22.4,0.741,10.9,33.6,14.9,9.45,2.61,14.1,21.3
2,Air Force,32,12,20,0.375,-0.37,3.02,,5,13,,8,7,,3,9,,73.1,74.6,,40.0,25.1,55.0,0.456,8.59,22.9,0.375,14.3,19.6,0.731,7.41,32.5,14.7,5.03,1.34,12.3,16.7
3,Akron,31,24,7,0.774,7.15,-0.4,,14,4,,15,2,,8,4,,75.7,66.5,,40.0,25.4,57.7,0.44,9.26,25.6,0.361,15.6,20.3,0.772,9.74,37.7,13.1,5.1,2.94,12.8,17.7
4,Alabama,31,16,15,0.516,11.12,8.12,,8,10,,10,5,,4,8,,82.0,79.0,,40.6,27.5,63.1,0.437,10.8,30.9,0.349,16.1,23.3,0.693,11.6,39.4,14.2,6.32,4.39,14.9,20.1
5,Alabama A&M,30,8,22,0.267,-18.88,-8.85,,5,13,,6,5,,2,16,,61.5,71.5,,40.2,21.9,57.6,0.38,5.13,18.3,0.281,12.6,18.8,0.671,9.53,34.5,10.9,5.8,2.1,13.0,17.9
6,Alabama State,32,8,24,0.25,-16.15,-6.53,,7,11,,4,5,,2,16,,61.4,71.0,,40.0,21.3,55.1,0.387,6.5,21.5,0.303,12.2,19.7,0.622,9.22,32.2,10.2,6.25,2.19,16.0,19.9
7,Albany (NY),32,14,18,0.438,-8.78,-5.91,,7,9,,7,7,,5,11,,66.5,68.4,,40.2,22.7,55.3,0.41,7.97,24.2,0.329,13.2,18.8,0.703,8.09,34.3,12.8,5.59,2.81,13.6,16.7
8,Alcorn State,30,15,15,0.5,-14.64,-9.64,,11,7,,11,2,,4,13,,75.0,73.2,,40.3,26.1,61.2,0.427,8.93,24.4,0.366,13.8,18.6,0.744,11.0,37.2,13.5,7.97,3.27,14.4,18.3
9,American,30,16,14,0.533,-4.37,-6.5,,12,6,,10,4,,6,10,,71.6,69.5,,40.2,26.5,58.1,0.457,6.87,20.2,0.34,11.7,16.6,0.703,8.9,32.6,12.8,8.0,3.53,12.3,17.4
10,Appalachian State,33,18,15,0.545,-0.81,-0.01,,11,9,,10,5,,7,9,,68.4,67.3,,40.2,23.5,54.5,0.431,6.42,21.2,0.303,15.0,22.5,0.667,9.79,34.9,11.5,7.45,2.24,13.3,15.6
11,Arizona,32,21,11,0.656,19.49,8.4,,10,8,,13,4,,4,6,,76.4,65.3,,40.3,26.6,59.5,0.446,7.28,20.7,0.352,16.0,21.8,0.732,10.9,37.4,15.4,6.75,3.72,11.8,18.5
12,Arizona State,31,20,11,0.645,11.46,8.1,,11,7,,13,3,,6,5,,73.8,70.5,,40.0,26.3,61.4,0.429,7.32,22.7,0.323,13.8,19.9,0.695,10.1,36.0,11.1,8.03,3.35,13.2,18.6
13,Arkansas,32,20,12,0.625,13.46,7.27,,7,11,,14,4,,4,8,,75.8,69.6,,40.6,25.3,57.0,0.443,7.59,22.8,0.334,17.7,24.3,0.731,7.47,31.6,11.9,7.91,3.88,11.5,19.9
